starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 28 12:36:43 2013	1377668203	0	216	217	117
Wed Aug 28 12:36:22 2013	1377668182	0	218	218	194
Wed Aug 28 12:36:34 2013	1377668194	0	218	219	154
Wed Aug 28 12:36:46 2013	1377668206	0	220	220	143
Wed Aug 28 12:36:46 2013	1377668206	0	220	220	146
Wed Aug 28 12:36:55 2013	1377668215	0	221	221	116
Wed Aug 28 12:36:49 2013	1377668209	0	221	221	144
Wed Aug 28 12:36:46 2013	1377668206	0	221	222	145
Wed Aug 28 12:36:45 2013	1377668205	0	222	222	154
Wed Aug 28 12:36:46 2013	1377668206	0	222	222	146
Wed Aug 28 12:36:34 2013	1377668194	0	222	222	149
Wed Aug 28 12:37:02 2013	1377668222	0	222	222	198
Wed Aug 28 12:36:57 2013	1377668217	0	223	223	173
Wed Aug 28 12:36:54 2013	1377668214	0	223	224	156
Wed Aug 28 12:36:39 2013	1377668199	0	223	224	140
Wed Aug 28 12:37:00 2013	1377668220	0	224	224	136
Wed Aug 28 12:36:59 2013	1377668219	0	224	225	177
Wed Aug 28 12:36:34 2013	1377668194	0	227	228	163
Wed Aug 28 12:36:22 2013	1377668182	0	228	228	203
Wed Aug 28 12:36:44 2013	1377668204	0	228	228	128
Wed Aug 28 12:36:34 2013	1377668194	0	228	228	159
Wed Aug 28 12:36:49 2013	1377668209	0	228	228	149
Wed Aug 28 12:36:54 2013	1377668214	0	229	229	116
Wed Aug 28 12:36:28 2013	1377668188	0	229	230	167
Wed Aug 28 12:36:46 2013	1377668206	0	230	231	170
Wed Aug 28 12:36:48 2013	1377668208	0	232	232	197
Wed Aug 28 12:36:46 2013	1377668206	0	232	232	161
Wed Aug 28 12:36:34 2013	1377668194	0	235	236	164
Wed Aug 28 12:36:18 2013	1377668178	0	236	237	151
Wed Aug 28 12:36:39 2013	1377668199	0	237	237	188
Wed Aug 28 12:36:48 2013	1377668208	0	238	238	80
Wed Aug 28 12:36:51 2013	1377668211	0	239	239	119
Wed Aug 28 12:37:00 2013	1377668220	0	239	239	121
